re im logn
1.098000 -3.324107 0.00000
1.134000 -3.324107 0.00000
1.170000 -3.324107 0.00000
1.206000 -3.324107 0.00000
1.242000 -3.324107 0.00000
1.278000 -3.324107 0.00000
1.314000 -3.324107 0.00000
1.350000 -3.324107 0.00000
1.386000 -3.324107 0.00000
1.422000 -3.324107 0.00000
1.458000 -3.324107 0.00000
1.494000 -3.324107 0.00000
1.530000 -3.324107 0.00000
1.566000 -3.324107 0.00000
1.602000 -3.324107 0.00000
1.638000 -3.324107 0.00000
1.674000 -3.324107 0.00000
1.710000 -3.324107 0.00000
1.746000 -3.324107 0.00000
1.782000 -3.324107 0.00000
1.818000 -3.324107 0.00000
1.854000 -3.324107 0.00000
1.890000 -3.324107 0.00000
1.926000 -3.324107 0.00000
1.962000 -3.324107 0.00000
1.998000 -3.324107 0.00000
2.034000 -3.324107 0.00000
2.070000 -3.324107 0.00000
2.106000 -3.324107 0.00000
2.142000 -3.324107 0.00000
2.178000 -3.324107 0.00000
2.214000 -3.324107 0.00000
2.250000 -3.324107 0.00000
2.286000 -3.324107 0.00000
2.322000 -3.324107 0.00000
2.358000 -3.324107 0.00000
2.394000 -3.324107 0.00000
2.430000 -3.324107 0.00000
2.466000 -3.324107 0.00000
2.502000 -3.324107 0.00000
2.538000 -3.324107 0.00000
2.574000 -3.324107 0.00000
2.610000 -3.324107 0.00000
2.646000 -3.324107 0.00000
2.682000 -3.324107 0.00000
2.718000 -3.324107 0.00000
2.754000 -3.324107 0.00000
2.790000 -3.324107 0.00000
2.826000 -3.324107 0.00000
2.862000 -3.324107 0.00000
2.898000 -3.324107 0.00000
2.934000 -3.324107 0.00000
2.970000 -3.324107 0.00000
3.006000 -3.324107 0.00000
3.042000 -3.324107 0.00000
3.078000 -3.324107 0.00000
3.114000 -3.324107 0.00000
3.150000 -3.324107 0.30103
3.186000 -3.324107 0.30103
3.222000 -3.324107 0.00000
3.258000 -3.324107 0.00000
3.294000 -3.324107 0.00000
3.330000 -3.324107 0.00000
3.366000 -3.324107 0.00000
3.402000 -3.324107 0.00000
3.438000 -3.324107 0.00000
3.474000 -3.324107 0.00000
3.510000 -3.324107 0.00000
3.546000 -3.324107 0.00000
3.582000 -3.324107 0.00000
3.618000 -3.324107 0.00000
3.654000 -3.324107 0.00000
3.690000 -3.324107 0.00000
3.726000 -3.324107 0.00000
3.762000 -3.324107 0.00000
3.798000 -3.324107 0.00000
3.834000 -3.324107 0.00000
3.870000 -3.324107 0.00000
3.906000 -3.324107 0.00000
3.942000 -3.324107 0.00000
3.978000 -3.324107 0.00000
4.014000 -3.324107 0.00000
4.050000 -3.324107 0.00000
4.086000 -3.324107 0.00000
4.122000 -3.324107 0.00000
4.158000 -3.324107 0.00000
4.194000 -3.324107 0.00000
4.230000 -3.324107 0.00000
